iter	RMSE
0	14.02717241
1	13.1507395
2	12.33221327
3	11.59475277
4	10.96497609
5	10.43104341
6	9.895060777
7	9.404055066
8	8.988150923
9	8.595764467
10	8.283539745
11	7.975615408
12	7.707892409
13	7.461120555
14	7.247629759
15	7.038425876
16	6.849178165
17	6.695463226
18	6.550178738
19	6.421092313
20	6.314130784
21	6.217527672
22	6.110424061
23	6.017314381
24	5.938521527
25	5.866894052
26	5.796153481
27	5.742828331
28	5.698727172
29	5.634741817
30	5.58978499
31	5.550300873
32	5.508857998
33	5.46667601
34	5.434793151
35	5.413113059
36	5.388987401
37	5.375216917
38	5.352087402
39	5.32828195
40	5.311538794
41	5.2916552
42	5.276943411
43	5.263788626
44	5.239240071
45	5.21716552
46	5.203009682
47	5.193225546
48	5.177889726
49	5.151191862
50	5.135438132
51	5.120127716
52	5.105821466
53	5.08674016
54	5.074399334
55	5.061872918
56	5.040035747
57	5.028620778
58	5.0145245
59	5.004772053
60	4.996902264
61	4.986933864
62	4.977324971
63	4.970769809
64	4.957748398
65	4.940909314
66	4.929310824
67	4.916574746
68	4.90638623
69	4.892974415
70	4.884975847
71	4.872943526
72	4.851291234
73	4.838253291
74	4.831770902
75	4.817918707
76	4.811769557
77	4.796859295
78	4.785367849
79	4.77488344
80	4.765989
81	4.758945324
82	4.750687541
83	4.744176204
84	4.738573328
85	4.729790108
86	4.723907133
87	4.710039853
88	4.704971256
89	4.693192112
90	4.686948657
91	4.676471103
92	4.671895023
93	4.664527364
94	4.652100675
95	4.641214159
96	4.630904396
97	4.622250298
98	4.613309861
99	4.598151241
